Hugo_Symbol	Tumor_Sample_Barcode
TP53	TCGA-0472
TP53	TCGA-0667
TP53	TCGA-0707
TP53	TCGA-0898
TP53	TCGA-0535
TP53	TCGA-0807
TP53	TCGA-0832
TP53	TCGA-0280
TP53	TCGA-0463
TP53	TCGA-0165
TP53	TCGA-0860
TP53	TCGA-0097
TP53	TCGA-0959
TP53	TCGA-0931
TP53	TCGA-0564
TP53	TCGA-0962
TP53	TCGA-0048
TP53	TCGA-0872
TP53	TCGA-0544
TP53	TCGA-0623
TP53	TCGA-0471
TP53	TCGA-0928
TP53	TCGA-0922
TP53	TCGA-0174
TP53	TCGA-0209
TP53	TCGA-0775
TP53	TCGA-0741
TP53	TCGA-0327
TP53	TCGA-0276
TP53	TCGA-0994
TP53	TCGA-0212
TP53	TCGA-0743
TP53	TCGA-0899
TP53	TCGA-1045
TP53	TCGA-0986
TP53	TCGA-0495
TP53	TCGA-0939
TP53	TCGA-0281
TP53	TCGA-0454
TP53	TCGA-0052
TP53	TCGA-0237
TP53	TCGA-0331
TP53	TCGA-0817
TP53	TCGA-0621
TP53	TCGA-0314
TP53	TCGA-0883
TP53	TCGA-0137
TP53	TCGA-0353
TP53	TCGA-0200
TP53	TCGA-0298
TP53	TCGA-0139
TP53	TCGA-0518
TP53	TCGA-0497
TP53	TCGA-0896
TP53	TCGA-0580
TP53	TCGA-0261
TP53	TCGA-0944
TP53	TCGA-0329
TP53	TCGA-0225
TP53	TCGA-0826
TP53	TCGA-0785
TP53	TCGA-0010
TP53	TCGA-0888
TP53	TCGA-0129
TP53	TCGA-0641
TP53	TCGA-0411
TP53	TCGA-0090
TP53	TCGA-0593
TP53	TCGA-0467
TP53	TCGA-0947
TP53	TCGA-0047
TP53	TCGA-0025
TP53	TCGA-0709
TP53	TCGA-0126
TP53	TCGA-0154
TP53	TCGA-0688
TP53	TCGA-0335
TP53	TCGA-0149
TP53	TCGA-0386
TP53	TCGA-0182
TP53	TCGA-0915
TP53	TCGA-0642
TP53	TCGA-0295
TP53	TCGA-0523
TP53	TCGA-0631
TP53	TCGA-0508
TP53	TCGA-0476
TP53	TCGA-0736
TP53	TCGA-0453
TP53	TCGA-0307
TP53	TCGA-0533
TP53	TCGA-0870
TP53	TCGA-0110
TP53	TCGA-0196
TP53	TCGA-0780
TP53	TCGA-0486
TP53	TCGA-0842
TP53	TCGA-0079
TP53	TCGA-0522
TP53	TCGA-0836
TP53	TCGA-0680
TP53	TCGA-0976
TP53	TCGA-0224
TP53	TCGA-0975
TP53	TCGA-0002
TP53	TCGA-0396
TP53	TCGA-0403
TP53	TCGA-0300
TP53	TCGA-0272
TP53	TCGA-1005
TP53	TCGA-0630
TP53	TCGA-0190
TP53	TCGA-0725
TP53	TCGA-0704
TP53	TCGA-0352
TP53	TCGA-0217
TP53	TCGA-0008
TP53	TCGA-0949
TP53	TCGA-0977
TP53	TCGA-0995
TP53	TCGA-0341
TP53	TCGA-0839
TP53	TCGA-0027
TP53	TCGA-0054
TP53	TCGA-0258
TP53	TCGA-0880
TP53	TCGA-0451
TP53	TCGA-0345
TP53	TCGA-0120
TP53	TCGA-0846
TP53	TCGA-0303
TP53	TCGA-0116
TP53	TCGA-0874
TP53	TCGA-0838
TP53	TCGA-0788
TP53	TCGA-0286
TP53	TCGA-0671
TP53	TCGA-0740
TP53	TCGA-0098
TP53	TCGA-0658
TP53	TCGA-0628
TP53	TCGA-0549
TP53	TCGA-0996
TP53	TCGA-0698
TP53	TCGA-0313
TP53	TCGA-0438
TP53	TCGA-0449
TP53	TCGA-0257
TP53	TCGA-0412
TP53	TCGA-0158
TP53	TCGA-0122
TP53	TCGA-0796
TP53	TCGA-0057
TP53	TCGA-0987
TP53	TCGA-0322
TP53	TCGA-0228
TP53	TCGA-1050
TP53	TCGA-0132
TP53	TCGA-0678
TP53	TCGA-1025
TP53	TCGA-0813
TP53	TCGA-0867
TP53	TCGA-0357
TP53	TCGA-0375
TP53	TCGA-0244
TP53	TCGA-0844
TP53	TCGA-0721
TP53	TCGA-0881
TP53	TCGA-0603
TP53	TCGA-0829
TP53	TCGA-0956
TP53	TCGA-0983
TP53	TCGA-0409
TP53	TCGA-0102
TP53	TCGA-1037
TP53	TCGA-0368
TP53	TCGA-0496
TP53	TCGA-0407
TP53	TCGA-0772
TP53	TCGA-0723
TP53	TCGA-0055
TP53	TCGA-0339
TP53	TCGA-0405
TP53	TCGA-0429
TP53	TCGA-0445
TP53	TCGA-0911
TP53	TCGA-0551
TP53	TCGA-0589
TP53	TCGA-0724
TP53	TCGA-0156
TP53	TCGA-0777
TP53	TCGA-0168
TP53	TCGA-0037
TP53	TCGA-0114
TP53	TCGA-0218
TP53	TCGA-0387
TP53	TCGA-0666
TP53	TCGA-0705
TP53	TCGA-0283
TP53	TCGA-0482
TP53	TCGA-0892
TP53	TCGA-0943
TP53	TCGA-0319
TP53	TCGA-0753
TP53	TCGA-0289
TP53	TCGA-0436
TP53	TCGA-0797
TP53	TCGA-0423
TP53	TCGA-0783
TP53	TCGA-0647
TP53	TCGA-0378
TP53	TCGA-0256
TP53	TCGA-0974
TP53	TCGA-0618
TP53	TCGA-0456
TP53	TCGA-0053
TP53	TCGA-0605
TP53	TCGA-0778
TP53	TCGA-0118
TP53	TCGA-0266
TP53	TCGA-0424
TP53	TCGA-0843
TP53	TCGA-0831
TP53	TCGA-0136
TP53	TCGA-0296
TP53	TCGA-0852
TP53	TCGA-0607
TP53	TCGA-0181
TP53	TCGA-0588
TP53	TCGA-0963
TP53	TCGA-0712
TP53	TCGA-0384
TP53	TCGA-1006
TP53	TCGA-0067
TP53	TCGA-0891
TP53	TCGA-0254
TP53	TCGA-0761
TP53	TCGA-0946
TP53	TCGA-0907
TP53	TCGA-0511
BRCA2	TCGA-0773
BRCA1	TCGA-0071
BRCA2	TCGA-0275
BRCA2	TCGA-0646
BRCA1	TCGA-0693
BRCA2	TCGA-0871
BRCA1	TCGA-1046
BRCA1	TCGA-0894
BRCA1	TCGA-0726
BRCA2	TCGA-0885
BRCA1	TCGA-0732
BRCA1	TCGA-0081
BRCA2	TCGA-0969
BRCA1	TCGA-1037
BRCA2	TCGA-0899
BRCA2	TCGA-0784
BRCA2	TCGA-0670
BRCA2	TCGA-0415
BRCA2	TCGA-0579
BRCA2	TCGA-0823
BRCA1	TCGA-0870
BRCA2	TCGA-0795
BRCA1	TCGA-0972
BRCA2	TCGA-0954
BRCA1	TCGA-0210
BRCA1	TCGA-0313
BRCA2	TCGA-0366
BRCA1	TCGA-0824
BRCA1	TCGA-1041
BRCA1	TCGA-0761
BRCA1	TCGA-0873
BRCA1	TCGA-0738
BRCA2	TCGA-0465
BRCA2	TCGA-0684
BRCA1	TCGA-0910
BRCA2	TCGA-0226
BRCA1	TCGA-0355
BRCA2	TCGA-0091
BRCA2	TCGA-0692
BRCA1	TCGA-0626
BRCA2	TCGA-0647
BRCA2	TCGA-0016
BRCA1	TCGA-0545
BRCA2	TCGA-0170
BRCA1	TCGA-0586
BRCA1	TCGA-0459
BRCA1	TCGA-0967
BRCA2	TCGA-0395
BRCA1	TCGA-0807
BRCA1	TCGA-0169
BRCA1	TCGA-0801
BRCA1	TCGA-0041
BRCA2	TCGA-0862
BRCA1	TCGA-0540
BRCA2	TCGA-0537
BRCA1	TCGA-0067
BRCA2	TCGA-0507
BRCA1	TCGA-0461
BRCA1	TCGA-0573
BRCA2	TCGA-0904
BRCA1	TCGA-1027
BRCA1	TCGA-0610
BRCA2	TCGA-0799
